sr_no,date,startup_name,industry_vertical,subvertical,city__location,investors_name,investmentntype,amount_in_usd
159,06-09-2018,Dream11,Online Gaming Platform,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000.0
160,10-09-2018,MamaEarth,Online Marketplace For Mother and Babycare Products,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,4000000.0
161,11-09-2018,AutoGrid,AI-Based Energy Optimisation and Control Provider,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000000.0
162,11-09-2018,Pharmeasy,Online Marketplace For Pharmaceutical Products,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,5500000.0
163,11-09-2018,Upwards,Online Micro Lending Marketplace,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000.0
164,12-09-2018,Kissht,Online lending Platform,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000.0
165,01-08-2018,dishq,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,400000.0
166,01-08-2018,HealthFin,Patient Financing Platform,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,1000000.0
167,02-08-2018,Samosa Labs,Social Media and Chat Entertainment Platform,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000.0
168,03-08-2018,ZiffyHomes,Online Home Rental Marketplace,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,120000.0
169,07-08-2018,My OmNamo,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Unknown,Seed/ Angel Funding,1000000.0
170,07-08-2018,ShopX,Assisted E-commerce Platform,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,35000000.0
171,07-08-2018,MakeMyTrip,Online Travel Aggregator,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,10000000.0
172,08-08-2018,Hansel io,Real-time Mobile App Management,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/ Angel Funding,4000000.0
173,08-08-2018,Metro Bikes,Online Bike Rental Marketplace,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000.0
174,08-08-2018,Phone Pe,UPI Payments App,UPI Payments App,Bengaluru,Flipkart,Private Equity,66000000.0
175,09-08-2018,quizizz,e-learning Platform,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,3000000.0
176,09-08-2018,Happy EMI,Consumer Financing Platform,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,1000000.0
177,13-08-2018,Inthree,Rural E-commerce Platform,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,4000000.0
178,13-08-2018,Observe AI,AI Based Solutions Platform,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000.0
179,16-08-2018,Enakshi,AI Based Solutions Platform,AI Based Solutions Platform,Ahemadabad,Unknown,Seed/ Angel Funding,114811.0
180,17-08-2018,EazyDiner,Online Restaurant Table Reservation Platform,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity,5850000.0
181,20-08-2018,Finzy,Online Loan Matchmaking Platform,Online Loan Matchmaking Platform,Bengaluru,Unknown,Seed / Angel Funding,1000000.0
182,20-08-2018,RawPressery,Online Organic Juice Delivery Service,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,4800000.0
183,22-08-2018,Pi Ventures,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bengaluru,CDC Group plc\\xc2\\xa0,Private Equity,6000000.0
184,22-08-2018,Revv,Online Indian Car Rental Platform,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270000.0
185,26-08-2018,ZestMoney,Online Lending Platform,Online Lending Platform,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13400000.0
186,26-08-2018,Shubh Loans,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000.0
187,27-08-2018,MyUpchar,Local Language Health Content App,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5000000.0
188,28-08-2018,Narvar,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,3000000.0
189,30-08-2018,True North,Private Equity Firm,Private Equity Firm,Mumbai,Unknown,Private Equity,600000000.0
190,01-07-2018,Leena AI,HR Virtual Agent For Employees,HR Virtual Agent For Employees,Gurugram,Y Combinator,Seed/ Angel Funding,1000000.0
191,02-07-2018,Biryani By Kilo,Online Food Delivery,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,1000000.0
192,04-07-2018,Anchanto,E-commerce Fulfilment Platform,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4000000.0
193,05/072018,Loan Tap,Online Lending Platform For Salaried Professionals,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,6250000.0
194,06-07-2018,PolicyBazaar,Online Insurance Selling Platform,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,27700000.0
195,09-07-2018,zippserv,Online Platform For Risk-Assessment Services For Real Estate Investments,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,Info Edge (India) Ltd,Seed/ Angel Funding,440000.0
196,09-07-2018,Groww,Online Platform That Sells Direct Plans Of Mutual Funds,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,1100000.0
197,10-07-2018,Avenue Growth,Online Platform That Connects Brands With Freelance Sales Professionals,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,437000.0
198,10-07-2018,iNICU,Med-tech Platform Providing Care For Newborns,Med-tech Platform Providing Care For Newborns,Delhi,Venture Catalysts,Seed/ Angel Funding,1000000.0
199,10-07-2018,Kinara Capital,Lending Platform For Micro and Small Enterprises,Lending Platform For Micro and Small Enterprises,Bengaluru,ResponsAbility,Private Equity,5000000.0
200,10-07-2018,Shop 101,Mobile Storefront And Commerce Platform For Sellers,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,5000000.0
201,11-07-2018,Sambandh,Online Micro Lending Platform,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,2500000.0
202,12-07-2018,19th mile,Artificial intelligence-based sales acceleration software platform,Artificial intelligence-based sales acceleration software platform,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed/ Angel Funding,180000.0
203,12-07-2018,5th Vital,Home diagnostics services provider,Home diagnostics services provider,Bengaluru,Brand Capital and Others,Seed/ Angel Funding,500000.0
204,13-07-2018,MEngage,A Doctor-Patient Engagement Platform,A Doctor-Patient Engagement Platform,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed/ Angel Funding,175000.0
205,17-07-2018,Ofbusiness,Online Lending Platform For SME,Online Lending Platform For SME,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,29000000.0
206,17-07-2018,Cars24,Online Used Car Marketplace,Online Used Car Marketplace,Gurugram,"Kingsway FCI Fund, KCK Global & Others",Private Equity,49700000.0
207,18-07-2018,The Ken,Subscription-Only News Website,Subscription-Only News Website,Bengaluru,Omidyar Network & Others,Seed/ Angel Funding,1500000.0
208,19-07-2018,Book My Show,Online Ticketing Platform,Online Ticketing Platform,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity,100000000.0
209,20-07-2018,HousingMan,Property Discovery Platform,Property Discovery Platform,Bengaluru,Unknown,Seed/ Angel Funding,1500000.0
210,21-07-2018,PaySense,Online Consumer Lending Platform,Online Consumer Lending Platform,Mumbai,PayU & Others,Private Equity,18000000.0
211,23-07-2018,Yulu Bikes,Bicycle-Sharing Platform,Bicycle-Sharing Platform,Bengaluru,Unknown,Seed/ Angel Funding,1000000.0
212,23-07-2018,VTION,Media Analytics,Media Analytics,Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed/ Angel Funding,280000.0
213,23-07-2018,Log9 Materials,Nanotechnology Company Specializing In Graphene,Nanotechnology Company Specializing In Graphene,Bengaluru,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed/ Angel Funding,436000.0
214,24-07-2018,kidovators,Skill Learning Platform,Skill Learning Platform,Bengaluru,Gray Matters,Seed/ Angel Funding,180000.0
215,24-07-2018,Digit,Online Insurance Startup,Online Insurance Startup,Pune,Fairfax,Private Equity,45000000.0
216,25-07-2018,Black Soil,Non-Banking Financial Company,Non-Banking Financial Company,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,17000000.0
217,25-07-2018,Trell,Mobile-First Video Blogging App,Mobile-First Video Blogging App,Bengaluru,"BeeNext , WEH Ventures and Sprout Ventures",Seed/ Angel Funding,1250000.0
218,25-07-2018,iqlect,Data Analytics Firm,Data Analytics Firm,Bengaluru,Ventureast and Exfinity,Seed/ Angel Funding,2500000.0
219,26-07-2018,Entropik,Software-As-A-Service Platform,Software-As-A-Service Platform,Bengaluru,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed/ Angel Funding,1100000.0
220,26-07-2018,Bitla Software,Travel-Focused Tech Startup,Travel-Focused Tech Startup,Bengaluru,MakeMyTrip,Private Equity,5925000.0
221,26-07-2018,TheCapitalNet,Unified Global Investments Ecosystem,Unified Global Investments Ecosystem,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,500000.0
222,30-07-2018,Shuttl,Bus Aggregation Platform,Bus Aggregation Platform,Gurugram,Amazon Alexa Fund & Dentsu Ventures,Private Equity,11000000.0
223,30-07-2018,Cure Fit,Health and fitness Platform,Health and fitness Platform,Bengaluru,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,120000000.0
224,31-07-2018,Five Star Group,Non-Bank Lending Platform For SME,Non-Bank Lending Platform For SME,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,100000000.0
225,31-07-2018,Healthsignz,Health and Well being Platform,Health and Well being Platform,Hyderabad,Kantilal Patel,Seed/ Angel Funding,5000000.0
226,01-06-2018,CoinTribe,Credit-Based Lending Marketplace For Small And Medium Enterprises,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,"Sabre Partners, Puneet Dalmia & Others",Private Equity,10000000.0
227,04-06-2018,Digiconectt,Sales Analytics and Enablement Platform,Sales Analytics and Enablement Platform,Bengaluru,Aspire Logistics LLC,Seed/ Angel Funding,125000.0
228,04-06-2018,Kashmir Box,"Online Marketplace For Handicrafts, Handlooms And Local Produce","Online Marketplace For Handicrafts, Handlooms And Local Produce",Srinagar,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",Seed/ Angel Funding,1000000.0
229,05-06-2018,Crowdera,Online Crowdfunding Platform,Online Crowdfunding Platform,Nagpur,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.",Seed/ Angel Funding,1000000.0
230,05-06-2018,Zoctr,Online Healthcare Aggregator,Online Healthcare Aggregator,Mumbai,NB Ventures and Others,Seed/ Angel Funding,1000000.0
231,07-06-2018,Annapurna Finance,Non-Banking Financial Company,Non-Banking Financial Company,Bhubneswar,Oman India Joint Investment Fund (OIJIF),Private Equity,23000000.0
232,07-06-2018,Meesho,Online Marketplace For Resellers,Online Marketplace For Resellers,Bengaluru,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",Private Equity,11500000.0
233,10-06-2018,AyeFinance,Online Lending Platform,Online Lending Platform,Gurugram,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity,21500000.0
234,11-06-2018,Theranosis,Specialised diagnostics Platform,Specialised diagnostics Platform,Hyderabad,Mumbai Angels Network,Seed/ Angel Funding,1000000.0
235,12-06-2018,Alpha Capital,Supplychain Finance,Supplychain Finance,Mumbai,Alpha Capital,Private Equity,14800000.0
236,12-06-2018,eshakti,Fashion e-tailer,Fashion e-tailer,Chennai,Paragon Partners,Private Equity,10100000.0
237,12-06-2018,Daily Ninja,Hyperlocal Delivery Platform,Hyperlocal Delivery Platform,Bengaluru,Saama Capital and Sequoia Capital,Seed/ Angel Funding,3000000.0
238,13-06-2018,NirogStreet,An Online Platform That Connects Ayurveda Doctors With Patients,An Online Platform That Connects Ayurveda Doctors With Patients,Gurugram,"Spiral Ventures, Subho Ray and Samir Kumar",Seed/ Angel Funding,300000.0
239,13-06-2018,Nivesh,Mass Market Mutual Fund Investment Platform,Mass Market Mutual Fund Investment Platform,Noida,"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George",Seed/ Angel Funding,450000.0
240,13-06-2018,What\\xe2\\x80\\x99s Up Life,"A Local Discovery App For Dining-Out, Party, Leisure and Events","A Local Discovery App For Dining-Out, Party, Leisure and Events",Gurugram,Rannvijay Singha,Seed/ Angel Funding,1000000.0
241,14-06-2018,HomeLane,Online Home Furnishing Solutions,Online Home Furnishing Solutions,Bengaluru,Brand Capital,Seed/ Angel Funding,3450000.0
242,14-06-2018,Network Intelligence,Cybersecurity Specialist,Cybersecurity Specialist,Mumbai,Helix Investments,Private Equity,4800000.0
243,18-06-2018,Tynor Othontics,Prosthetics Manufacturers,Prosthetics Manufacturers,Chandigarh,Lighthouse Funds & Thuasne Participations,Private Equity,21000000.0
244,18-06-2018,Elucidata,Data Analytics (SaaS),Data Analytics (SaaS),Delhi & Cambridge,Hyperplane Venture Capital and several angel investors,Seed/ Angel Funding,1700000.0
245,19-06-2018,Chrysalis,Education Services Provider,Education Services Provider,Pune,Menterra Venture & Artha Initiatives,Seed/ Angel Funding,1000000.0
246,19-06-2018,RentSher,Online Rental Marketplace,Online Rental Marketplace,Bengaluru,"Shorooq Investments, LetsVenture & Others",Seed/ Angel Funding,1100000.0
247,20-06-2018,Drip capital,Trade Finance Firm,Trade Finance Firm,Mumbai,"Accel Partners, Sequoia India, Y Combinator and others.",Private Equity,15000000.0
248,22-06-2018,WickedRide,Online Motorbike And Scooter Rental Platforms,Online Motorbike And Scooter Rental Platforms,Bengaluru,"Sequoia Capital, Accel Partners & Raghunandan Gangappa",Private Equity,9100000.0
249,25-06-2018,PolicyBazaar,Online Insurance Selling Platform,Online Insurance Selling Platform,Gurugram,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,200000000.0
250,25-06-2018,HipBar,Digital Payment Platform For Beverage Delivery,Digital Payment Platform For Beverage Delivery,Bengaluru,Diageo India,Private Equity,4000000.0
251,25-06-2018,Sqqrl,App-based investment platform,App-based investment platform,Gurugram,Equanimity Venture Fund,Seed/ Angel Funding,1000000.0
252,26-06-2018,Paytm,Digital Payment Platform,Digital Payment Platform,Noida,One 97 Communications,Private Equity,8950000.0
253,26-06-2018,Sigtuple,Data Driven Intelligence Solutions Platform,Data Driven Intelligence Solutions Platform,Bengaluru,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",Private Equity,19000000.0
254,27-06-2018,Wow Express,E-commerce Logistics Platform,E-commerce Logistics Platform,Mumbai,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity,4500000.0
255,28-06-2018,Front Desk AI,An AI Platform Offering Automated Customer Service Software,An AI Platform Offering Automated Customer Service Software,Bengaluru,Speciale Invest & Others,Seed/ Angel Funding,1100000.0
256,28-06-2018,Edureka,Online Education Platform,Online Education Platform,Bengaluru,Leo Capital,Seed/ Angel Funding,2000000.0
257,29-06-2018,Numeroseven,An Artificial Intelligence-Based Recruitment Platform,An Artificial Intelligence-Based Recruitment Platform,Kolkatta,Shiva Gunapu & Others,Seed/ Angel Funding,1000000.0
258,02-05-2018,OpenTap,Online Lending Platform,Online Lending Platform,Chennai,Unknown High Net-Worth Individuals,Seed / Angel Funding,450000.0
259,02-05-2018,Bizongo,Aggregator For Packaging Material,Aggregator For Packaging Material,Mumbai,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,22000000.0
260,03-05-2018,Disprz,SaaS,SaaS,Chennai,"IL&FS Private Equity, Kae Capital & Others",Seed / Angel Funding,2500000.0
261,07-05-2018,PaisaDukan,P2P Lending Platform,P2P Lending Platform,Mumbai,Unknown,Seed / Angel Funding,225000.0
262,09-05-2018,i3sysytems,AI product company For Health and Life Insurane Companies,AI product company For Health and Life Insurane Companies,Mumbai,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Seed / Angel Funding,1000000.0
263,11-05-2018,Earth Food,Agri-tech,Agri-tech,Pune,Rairah Corporation,Seed / Angel Funding,949000.0
264,14-05-2018,Nykaa,Beauty e-tailer,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,24000000.0
265,16-05-2018,mfine,Doctor-Consultation App,Doctor-Consultation App,Bengaluru,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal",Private Equity,4200000.0
266,21-05-2018,Rocketium,Online Video Creation Platform,Online Video Creation Platform,Bengaluru,Blume ventures,Seed/ Angel Funding,300000.0
267,21-05-2018,MilkBasket,Micro-Delivery Grocery Startup,Micro-Delivery Grocery Startup,Gurugram,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity,7000000.0
268,22-05-2018,Vola,Micro Lending Platform,Micro Lending Platform,Bengaluru,Credika and unnamed angel investors,Seed/ Angel Funding,500000.0
269,22-05-2018,Cashkumar,P2P Lending Platform,P2P Lending Platform,Bengaluru,LetsVenture,Seed/ Angel Funding,735000.0
270,23-05-2018,Edyoo,Products For Shoolgoing Children,Products For Shoolgoing Children,Bengaluru,RS Shanbag,Seed/ Angel Funding,735000.0
271,23-05-2018,Aashiyaan,Housing Finance For Low-Income Families,Housing Finance For Low-Income Families,Kolkata,"Insistor, Oikocredit",Seed/ Angel Funding,2000000.0
272,24-05-2018,Smartivity,Designer Of Toys and Learning Projects For Kids,Designer Of Toys and Learning Projects For Kids,Delhi,"Ashish Kacholi, S Chand Group",Seed/ Angel Funding,2000000.0
273,24-05-2018,Bonphulapl,Oxygen Optimiser Manufacturer,Oxygen Optimiser Manufacturer,Delhi,Atul Gupta and Saurabh Rastogi,Seed/ Angel Funding,293000.0
274,27-05-2018,Acko,Online Insurance Platform,Online Insurance Platform,Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",Seed/ Angel Funding,12000000.0
275,28-05-2018,HWell24,Home Healthcare Aggregator,Home Healthcare Aggregator,Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd",Seed/ Angel Funding,200000.0
276,29-05-2018,Toffee,Online Insurance Platform,Online Insurance Platform,Gurugram,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Seed/ Angel Funding,1500000.0
277,29-05-2018,Tonetag,Mobile Payments Technology Platform,Mobile Payments Technology Platform,Bengaluru,Amazon Inc. and Mastercard,Private Equity,8000000.0
278,30-05-2018,Events High,Events and Activities Discovery Platform,Events and Activities Discovery Platform,Bengaluru,Treebo,Private Equity,5925000.0
279,30-05-2018,Stellaps,Iot Application Platform In Agriculture,Iot Application Platform In Agriculture,Bengaluru,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT",Private Equity,14000000.0
280,31-05-2018,Credright,Lending Platform For SMEs,Lending Platform For SMEs,Hyderabad,"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors",Seed/ Angel Funding,1300000.0
281,02-04-2018,Fitternity,Online Fitness Discovey Platform,Online Fitness Discovey Platform,Mumbai,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity,2000000.0
282,02-04-2018,Synctag,Social Media Anlaytics Platform,Social Media Anlaytics Platform,Coimbatore,Subhkam Ventures and Mohit Khadaria,Seed / Angel Funding,307600.0
283,02-04-2018,Benepik,Enhanced Employee Engagement Platform,Enhanced Employee Engagement Platform,Gurugram,"Vishal Bali, Yogesh Misra, Thomas Assessments and others",Seed / Angel Funding,989000.0
284,02-04-2018,Finzy,Online Loan Matchmaking Platform,Online Loan Matchmaking Platform,Bengaluru,Unknown,Seed / Angel Funding,1300000.0
285,04-04-2018,Varthana,Loans and Services To Affordable Private Schools in India,Loans and Services To Affordable Private Schools in India,Bengaluru,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,55000000.0
286,05-04-2018,IndigoLearn,Online Education Platform,Online Education Platform,Hyderabad,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Seed / Angel Funding,150000.0
287,05-04-2018,Vedantu,Interactive Online Tutoring Platform,Interactive Online Tutoring Platform,Bangalore,"Accel Partners, Tiger Global And Others",Private Equity,10000000.0
288,09-04-2018,Kaleidofin,Digital Financial Services Platform,Digital Financial Services Platform,Chennai,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Seed / Angel Funding,2800000.0
289,09-04-2018,Pipabella,Fashion Accessories Etailer,Fashion Accessories Etailer,Mumbai,Fireside Ventures,Seed / Angel Funding,1000000.0
290,09-04-2018,Elemential,Blockchain Platform,Blockchain Platform,Mumbai,"Matrix Partner, Amrish Rau, Investopad, Digital Currency Group, Hinduja Group, Lightspeed India, Eight Innovate, Amit Ranjan, Prashant Malik and others",Seed / Angel Funding,989000.0
291,09-04-2018,Kriger Campus,Mobile-Based Education Network,Mobile-Based Education Network,Delhi,Unknown,Seed / Angel Funding,46140.0
292,10-04-2018,Loanzen,Digital Lending Platform In Logistics,Digital Lending Platform In Logistics,Bengaluru,Kae Capital Management,Seed / Angel Funding,989000.0
293,10-04-2018,TravelTriangle,Online Travel Marketplace,Online Travel Marketplace,Gurugram,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity,12000000.0
294,12-04-2018,Letsmd,Platform To Discover Healthcare Financing Options,Platform To Discover Healthcare Financing Options,Delhi,"SRI Capital, Waterbridge Ventures and ThinKuvate",Seed / Angel Funding,1000000.0
295,12-04-2018,AyeFinance,Online Lending Platform,Online Lending Platform,Gurugram,"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow",Debt Funding,4600000.0
296,13-04-2018,mintifi,Online Lending Platform,Online Lending Platform,Mumbai,Lok Capital,Seed / Angel Funding,2000000.0
